Order_Date,Customer_ID,Order_ID,Quantity,City,District,Catalog_Number,Hebrew_Description,English_Description,Added_Date,Family_Item_ID,Family_Item_Name,Sales_Price_No_VAT,Sales_Price_With_VAT,Cost_Price,Cost_Import_USD,Cost_Production_USD,Size,Color_ID,Color_Name
9/14/2022,100834,SO22000955,2,Netivot,דרום,NHT3002-14-20,מגבת גוף כחול  100% כותנה 600 גר' 70/140,Body towel 100% cotton Aqua Fibro 600 gsm 90x140,5/31/2021,מגבות,מגבות אקווה פיברו,162,189,7,0,0,70/140,20,SILVER
9/14/2022,100834,SO22000955,2,Netivot,דרום,NHT3004-14-16,מגבת גוף אפור כהה  100% כותנה 600 גר' 70/140,Body towel 100% cotton Aqua Fibro 600 gsm 90x140,5/31/2021,מגבות,מגבות אקווה פיברו,162,189,7,0,0,70/140,16,Bruschetta
9/14/2022,100834,SO22000955,1,Netivot,דרום,NHT3004-9-16,מגבת פנים אפור כהה 100% כותנה 600 גר' 50/90,"Face towel 100% cotton Aqua Fibro 600 gsm 50x90""",5/31/2021,מגבות,מגבות אקווה פיברו,76,89,4,0,0,50/90,16,Bruschetta
9/14/2022,100834,SO22000955,2,Netivot,דרום,NHT3008-9-2,מגבת פנים לבן  100% כותנה 600 גר' 50/90,"Face towel 100% cotton Aqua Fibro 600 gsm 50x90""",5/31/2021,מגבות,מגבות אקווה פיברו,76,89,4,0,0,50/90,2,PAGEANT BLUE
9/14/2022,100835,SO22000956,1,Kiryat-Bialik,חיפה,NLW-8040L8,OCEAN L Mix&Match Small Logo with Pocket men Shirt,",,L",11/11/2021,7000,Loungewear,127,149,6,0,6,L,8,Lolipop
9/14/2022,100835,SO22000956,1,Kiryat-Bialik,חיפה,NLW-8040XL3,NAVY XL Mix&Match Small Logo with Pocket men Shirt,",,XL",11/11/2021,7000,Loungewear,127,149,6,0,6,XL,3,CURDS & WHEY
9/14/2022,100835,SO22000956,1,Kiryat-Bialik,חיפה,NLW-8060L3,NAVY L Mix&Match men Shorts,"Mix&Match men Shorts,,L",11/10/2021,7000,Loungewear,144,169,7,0,7,L,3,CURDS & WHEY
9/14/2022,100835,SO22000956,1,Kiryat-Bialik,חיפה,NLW-8060XL3,NAVY XL Mix&Match men Shorts,"Mix&Match men Shorts,,XL",11/10/2021,7000,Loungewear,144,169,7,0,7,XL,3,CURDS & WHEY
9/14/2022,100836,SO22000957,1,Kfar Saba, מרכז,NHRU402-L-2,חלוק אמבטיה לבן 100% כותנה אקווה פיברו L,"Bath robe 100% cotton Aqua fibro  WHITE SIZE L""",5/31/2021,חלוקים,חלוקי אמבטיה אקווה פיברו,427,499,21,0,0,L,2,PAGEANT BLUE
9/14/2022,100837,SO22000958,1,Kfar-Habad, מרכז,NHP1005-1-2,כרית ויסקו ג'ל קירור לוגו רקום כיסוי 100% במבוק 950 גר',VISCO PILLOW WITH GEL 60X40+12CM BAMBOO FABRIC 9,5/31/2021,כריות,כריות,427,499,11,0,0,40/60,2,PAGEANT BLUE
9/14/2022,100837,SO22000958,1,Kfar-Habad, מרכז,NLW-8070M3,NAVY M Mix&Match men Pants,"Mix&Match men Pants,,M",11/10/2021,7000,Loungewear,196,229,9,0,9,M,3,CURDS & WHEY
9/14/2022,100838,SO22000959,1,Rishon LeZion, מרכז,NHRU403-L-3,חלוק אמבטיה כחול 100% כותנה אקווה פיברו L,"Bath robe 100% cotton Aqua fibro  BLUE SIZE L""",5/31/2021,חלוקים,חלוקי אמבטיה אקווה פיברו,427,499,21,0,0,L,3,CURDS & WHEY
9/14/2022,100838,SO22000959,1,Rishon LeZion, מרכז,NHRU403-M-3,חלוק אמבטיה כחול 100% כותנה אקווה פיברו M,"Bath robe 100% cotton Aqua fibro  BLUE SIZE M""",5/31/2021,חלוקים,חלוקי אמבטיה אקווה פיברו,427,499,21,0,0,M,3,CURDS & WHEY
9/14/2022,100839,SO22000960,1,Haïfa,חיפה,NHT4S1008-1-24,סט 2+2 פרימיום 100% כותנה אפור כהה ותכלת 550 גר',Towel set 2+2 100% cotton Premium 550 gsm delphi,5/31/2021,מגבות P,מגבות פרימיום,363,425,14,0,0,2x140/70+2x50/90,24,Peach Dust
9/14/2022,100840,SO22000961,1,Petah Tikva, מרכז,NBRK401-10-20,"Nautica Bathrobe Kids,Aqua Fibro 450GSM,10-12, Navy","Nautica Bathrobe Kids,Aqua Fibro 450GSM,10-12, Navy",6/15/2022,חלוקים,חלוקי אמבטיה אקווה פיברו,179,209,15,0,15,10-12,20,SILVER
9/14/2022,100840,SO22000961,1,Petah Tikva, מרכז,NHRU403-L-3,חלוק אמבטיה כחול 100% כותנה אקווה פיברו L,"Bath robe 100% cotton Aqua fibro  BLUE SIZE L""",5/31/2021,חלוקים,חלוקי אמבטיה אקווה פיברו,427,499,21,0,0,L,3,CURDS & WHEY
9/14/2022,100841,SO22000962,1,Netivot,דרום,NBRK401-10-20,"Nautica Bathrobe Kids,Aqua Fibro 450GSM,10-12, Navy","Nautica Bathrobe Kids,Aqua Fibro 450GSM,10-12, Navy",6/15/2022,חלוקים,חלוקי אמבטיה אקווה פיברו,179,209,15,0,15,10-12,20,SILVER
9/14/2022,100841,SO22000962,1,Netivot,דרום,NBRK402-10-2,"Nautica Bathrobe Kids,Aqua Fibro 450GSM,10-12, White","Nautica Bathrobe Kids,Aqua Fibro 450GSM,10-12, White",6/15/2022,חלוקים,חלוקי אמבטיה אקווה פיברו,179,209,15,0,15,10-12,2,PAGEANT BLUE
9/14/2022,100841,SO22000962,1,Netivot,דרום,NBRK402-8-2,"Nautica Bathrobe Kids,Aqua Fibro 450GSM,8-10, White","Nautica Bathrobe Kids,Aqua Fibro 450GSM,8-10, White",6/15/2022,חלוקים,חלוקי אמבטיה אקווה פיברו,179,209,14,0,14,8-10,2,PAGEANT BLUE
9/14/2022,100842,SO22000963,1,Beer-Sheva,דרום,NHP1005-1-2,כרית ויסקו ג'ל קירור לוגו רקום כיסוי 100% במבוק 950 גר',VISCO PILLOW WITH GEL 60X40+12CM BAMBOO FABRIC 9,5/31/2021,כריות,כריות,427,499,11,0,0,40/60,2,PAGEANT BLUE
